년도	월	약효분류코드	약효분류명	수량	사용금액
2018	3	636	생물학적 제제	0	15
2018	3	639	기타의 생물학적 제제	7	3,205
2018	3	641	항원충제	8,502	1,616
2018	3	642	구충제	11	6
2018	3	712	연고기제	0	0
2018	3	713	용해제	740	195
2018	3	721	X선조영제	3,673	32,851
2018	3	722	일반검사용 시약	13	83
2018	3	728	기능검사용 시약	13	175
2018	3	729	기타의 진단용약	162	86
2018	3	799	따로 분류되지 않고 치료를 주목적으로 하지 않는 의약품	0	5
2018	3	811	아편알카로이드계 제제	4,396	1,702
2018	3	821	합성마약	4,882	9,169
2018	3	999	해당사항없음	83	12
2018	4	111	전신마취제	1,150	3,162
2018	4	112	최면진정제	19,022	2,796
2018	4	113	항전간제	60,701	16,445
2018	4	114	해열·진통·소염제	408,925	65,632
2018	4	115	각성제,흥분제	1,942	1,599
2018	4	116	진훈제	2,446	87
2018	4	117	정신신경용제	191,423	38,396
2018	4	119	기타의 중추신경용약	119,248	71,398
2018	4	121	국소마취제	3,588	2,007
2018	4	122	골격근이완제	49,893	6,844
2018	4	123	자율신경제	17,616	2,455
2018	4	124	진경제	29,169	3,728
2018	4	129	기타의 말초신경용약	0	0
2018	4	131	안과용제	64,661	49,117
2018	4	132	이비과용제	1,213	5,819
2018	4	141	항히스타민제	259,181	14,173
2018	4	142	자격요법제(비특이성면역원제제를 포함)	12,199	29,200
2018	4	149	기타의 알레르기용약	45,362	18,888
2018	4	211	강심제	12,520	1,235
2018	4	212	부정맥용제	21,581	2,255
2018	4	213	이뇨제	27,818	1,484
2018	4	214	혈압강하제	262,463	139,653
2018	4	215	혈관보강제	4,236	843
2018	4	216	혈관수축제	641	83
2018	4	217	혈관확장제	58,220	10,457
2018	4	218	동맥경화용제	206,829	142,629
2018	4	219	기타의 순환계용약	174,769	50,800
2018	4	220	호흡기관용약	67	2,316
2018	4	221	호흡촉진제	93	243
2018	4	222	진해거담제	495,587	39,790
2018	4	223	함소흡입제	453,452	3,581
2018	4	229	기타의 호흡기관용약	56,296	8,964
2018	4	231	치과구강용약	855	885
2018	4	232	소화성궤양용제	351,031	90,966
2018	4	233	건위소화제	94	2
2018	4	234	제산제	86,470	3,475
