년도	월	약효분류코드	약효분류명	수량	사용금액	대분류코드	중분류코드	대분류	중분류
2018	3	111	전신마취제	925	3224	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	112	최면진정제	19745	2908	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	113	항전간제	62028	16876	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	114	해열·진통·소염제	393268	65082	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	115	각성제,흥분제	1892	1526	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	116	진훈제	2436	87	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	117	정신신경용제	193036	38429	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	119	기타의 중추신경용약	121291	72731	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	3	121	국소마취제	3733	2083	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	3	122	골격근이완제	50540	6910	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	3	123	자율신경제	18453	2563	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	3	124	진경제	31819	4025	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	3	129	기타의 말초신경용약	0	0	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	3	131	안과용제	65327	48466	100	130	신경계 감각기관용 의약품	감각기관용약
2018	3	132	이비과용제	1190	5272	100	130	신경계 감각기관용 의약품	감각기관용약
2018	3	141	항히스타민제	251830	13132	100	140	신경계 감각기관용 의약품	알레르기용약
2018	3	142	자격요법제(비특이성면역원제제를 포함)	12650	30109	100	140	신경계 감각기관용 의약품	알레르기용약
2018	3	149	기타의 알레르기용약	42471	17498	100	140	신경계 감각기관용 의약품	알레르기용약
2018	3	211	강심제	12799	1283	200	210	개개의 기관계용 의약품	순환계용약
2018	3	212	부정맥용제	21945	2302	200	210	개개의 기관계용 의약품	순환계용약
2018	3	213	이뇨제	28717	1525	200	210	개개의 기관계용 의약품	순환계용약
2018	3	214	혈압강하제	276343	147000	200	210	개개의 기관계용 의약품	순환계용약
2018	3	215	혈관보강제	4383	870	200	210	개개의 기관계용 의약품	순환계용약
2018	3	216	혈관수축제	638	82	200	210	개개의 기관계용 의약품	순환계용약
2018	3	217	혈관확장제	60978	10947	200	210	개개의 기관계용 의약품	순환계용약
2018	3	218	동맥경화용제	216614	149053	200	210	개개의 기관계용 의약품	순환계용약
2018	3	219	기타의 순환계용약	181803	52202	200	210	개개의 기관계용 의약품	순환계용약
2018	3	220	호흡기관용약	66	2288	200	220	개개의 기관계용 의약품	호흡기관용약
